estacao,cidade,estado,dia_maior_variacao,maior_variacao,temperatura_max,temperatura_min
Braganca,Bragança,PA,2020-03-17,50.0,44.4,-5.6
Bacabal,Bacabal,MA,2010-01-24,34.400000000000006,34.2,-0.2
Belem,Belém,PA,2005-12-21,34.3,34.3,0.0
Rondonopolis,Rondonópolis,MT,2008-09-23,32.6,42.0,9.4
Barcelos,Barcelos,AM,2012-07-02,31.4,31.2,-0.2
Salinopolis,Salinópolis,PA,2022-05-06,29.9,29.9,0.0
Nova Maringa,Nova Maringá,MT,2020-11-05,28.099999999999998,44.8,16.7
Parana,Paranã,TO,2008-08-12,27.299999999999997,40.4,13.1
Pontes E Lacerda,Pontes e Lacerda,MT,2012-08-30,26.699999999999996,40.3,13.6
Comodoro,Comodoro,MT,2010-08-19,26.500000000000004,35.2,8.7
Rosario Oeste,Rosário Oeste,MT,2022-08-12,26.5,35.1,8.6
S.J. Do Rio Claro,São José do Rio Claro,MT,2010-08-18,26.5,36.9,10.4
Pium,Pium,TO,2019-09-13,26.4,40.9,14.5
Rondon Do Para,Rondon do Pará,PA,2022-05-17,26.299999999999997,35.9,9.6
Lagoa Da Confusao,Lagoa da Confusão,TO,2024-09-05,26.200000000000003,39.7,13.5
Porto Estrela,Porto Estrela,MT,2013-08-30,26.099999999999998,38.3,12.2
Alto Parnaiba,Alto Parnaíba,MA,2024-09-04,25.9,39.3,13.4
Buriticupu,Buriticupu,MA,2017-07-13,25.8,44.1,18.3
Salto Do Ceu,Salto do Céu,MT,2013-08-30,25.500000000000004,36.7,11.2
Araguacu,Araguaçu,TO,2019-09-13,25.299999999999997,41.4,16.1
Epitaciolandia,Epitaciolândia,AC,2019-08-06,25.200000000000003,31.8,6.6
Vila Bela Da Santissima Trindade,Vila Bela da Santíssima Trindade,MT,2010-08-07,25.1,34.7,9.6
Estreito,Estreito,MA,2010-08-10,25.1,37.5,12.4
Gurupi,Gurupi,TO,2024-09-04,25.0,39.0,14.0
Almas,Almas,TO,2021-05-12,24.900000000000002,43.1,18.2
Rio Sono,Rio Sono,TO,2024-09-05,24.9,38.5,13.6
Caceres,Cáceres,MT,2013-08-30,24.9,37.3,12.4
Conceicao Do Araguaia,Conceição do Araguaia,PA,2024-09-05,24.799999999999997,39.4,14.6
Querencia,Querência,MT,2019-09-14,24.7,41.0,16.3
Barra Do Corda,Barra do Corda,MA,2017-08-01,24.6,43.5,18.9
Santa Rosa Do Tocantins,Santa Rosa do Tocantins,TO,2024-09-04,24.5,39.9,15.4
Alto Taquari,Alto Taquari,MT,2024-08-20,24.300000000000004,35.7,11.4
Alto Araguaia,Alto Araguaia,MT,2016-07-18,24.2,29.5,5.3
Alta Floresta,Alta Floresta,MT,2024-09-05,24.0,39.0,15.0
Santana Do Araguaia,Santana do Araguaia,PA,2024-09-05,23.8,39.6,15.8
Pedro Afonso,Pedro Afonso,TO,2024-09-05,23.799999999999997,40.8,17.0
Guaranta Do Norte,Guarantã do Norte,MT,2024-09-05,23.699999999999996,40.8,17.1
Cuiaba,Cuiabá,MT,2003-08-19,23.6,37.7,14.1
Sinop,Sinop,MT,2012-09-11,23.5,39.0,15.5
Peixe,Peixe,TO,2007-09-17,23.5,40.0,16.5
Santa Maria Das Barreiras,Santa Maria das Barreiras,PA,2024-09-05,23.5,40.0,16.5
Gaucha Do Norte,Gaúcha do Norte,MT,2008-09-24,23.5,36.9,13.4
Araguaina,Araguaína,TO,2017-08-31,23.400000000000002,38.6,15.2
Paranatinga,Paranatinga,MT,2019-09-06,23.299999999999997,37.8,14.5
Santo Antonio Do Leste,Santo Antônio do Leste,MT,2016-08-23,23.1,33.6,10.5
Sao Felix  Do Araguaia,São Félix do Araguaia,MT,2016-08-09,23.0,39.9,16.9
Balsas,Balsas,MA,2016-07-17,23.0,37.4,14.4
Guiratinga,Guiratinga,MT,2022-08-13,22.800000000000004,35.2,12.4
Santa Fe Do Araguaia,Santa Fé do Araguaia,TO,2024-09-05,22.8,39.0,16.2
Agua Boa,Água Boa,MT,2024-09-05,22.8,39.0,16.2
Juara,Juara,MT,2010-08-10,22.700000000000003,37.7,15.0
Formoso Do Araguaia,Formoso do Araguaia,TO,2019-09-03,22.599999999999998,39.8,17.2
