id_cidade,nome_cidade,area_desmatada_cidade,area_desmatada_uc,area_desmatada_total,percentual_uc_exclusiva
1185,Cururupu,0.0,0.28,0.28,100.0
1447,Rio Branco,0.0,0.87,0.87,100.0
783,Manaus,68.64,97.69,166.33,58.73
1377,Cuiabá,1.09,1.1,2.19,50.14
834,Augusto Corrêa,1.33,0.75,2.08,36.02
952,Soure,1.95,1.08,3.03,35.63
795,Santa Isabel do Rio Negro,20.56,9.33,29.89,31.22
753,Barcelos,30.97,8.89,39.86,22.31
919,Porto de Moz,483.51,131.45,614.96,21.38
777,Japurá,66.4,16.49,82.89,19.89
1307,São Luís,29.28,5.76,35.04,16.44
905,Oeiras do Pará,126.7,22.37,149.07,15.01
696,Machadinho D'Oeste,1020.5,155.72,1176.22,13.24
889,Maracanã,13.94,2.0,15.94,12.54
1152,Bequimão,0.56,0.08,0.64,12.44
1082,Pium,0.93,0.13,1.06,12.32
762,Carauari,17.55,2.45,20.0,12.25
944,São Geraldo do Araguaia,31.51,4.28,35.79,11.96
701,Nova Mamoré,1768.79,233.7,2002.49,11.67
887,Magalhães Barata,6.21,0.81,7.02,11.54
779,Jutaí,67.08,6.74,73.82,9.13
786,Maués,467.46,42.84,510.3,8.4
890,Marapanim,15.7,1.25,16.95,7.37
838,Baião,159.01,12.47,171.48,7.27
689,Cujubim,1144.95,82.82,1227.77,6.75
1479,Vila Bela da Santíssima Trindade,248.73,17.02,265.75,6.4
920,Prainha,886.38,50.01,936.39,5.34
1015,Carrasco Bonito,0.42,0.02,0.44,4.55
939,São Caetano de Odivelas,9.87,0.39,10.26,3.8
822,Uiramutã,20.7,0.72,21.42,3.36
682,Candeias do Jamari,1289.61,44.28,1333.89,3.32
688,Costa Marques,530.1,17.61,547.71,3.22
897,Monte Alegre,361.3,10.96,372.26,2.94
957,Tracuateua,9.56,0.28,9.84,2.85
789,Novo Airão,19.53,0.52,20.05,2.59
912,Parauapebas,86.89,2.15,89.04,2.41
830,Altamira,6611.69,132.86,6744.55,1.97
846,Bragança,15.03,0.3,15.33,1.96
787,Nhamundá,76.16,0.99,77.15,1.28
794,Rio Preto da Eva,60.51,0.65,61.16,1.06
758,Boca do Acre,1523.86,15.93,1539.79,1.03
936,Santarém,380.64,3.78,384.42,0.98
945,São João da Ponta,12.53,0.12,12.65,0.95
759,Borba,197.7,1.78,199.48,0.89
731,Feijó,997.08,8.21,1005.29,0.82
708,Porto Velho,5219.39,40.76,5260.15,0.77
780,Lábrea,4035.38,30.66,4066.04,0.75
797,São Gabriel da Cachoeira,61.89,0.45,62.34,0.72
784,Manicoré,1373.92,7.98,1381.9,0.58
802,Tapauá,243.73,1.43,245.16,0.58
906,Oriximiná,276.04,1.55,277.59,0.56
733,Mâncio Lima,95.61,0.43,96.04,0.45
964,Viseu,121.34,0.54,121.88,0.44
1426,Novo Santo Antônio,79.11,0.34,79.45,0.43
1372,Colniza,2991.2,12.69,3003.89,0.42
