id_cidade,nome,nome_normalizado,id_estado
1,Alta Floresta D'Oeste,alta floresta d'oeste,7
2,Alto Alegre dos Parecis,alto alegre dos parecis,7
3,Alto Paraíso,alto paraiso,7
4,Alvorada D'Oeste,alvorada d'oeste,7
5,Ariquemes,ariquemes,7
6,Buritis,buritis,7
7,Cabixi,cabixi,7
8,Cacaulândia,cacaulandia,7
9,Cacoal,cacoal,7
10,Campo Novo de Rondônia,campo novo de rondonia,7
11,Candeias do Jamari,candeias do jamari,7
12,Castanheiras,castanheiras,7
13,Cerejeiras,cerejeiras,7
14,Chupinguaia,chupinguaia,7
15,Colorado do Oeste,colorado do oeste,7
16,Corumbiara,corumbiara,7
17,Costa Marques,costa marques,7
18,Cujubim,cujubim,7
19,Espigão D'Oeste,espigao d'oeste,7
20,Governador Jorge Teixeira,governador jorge teixeira,7
21,Guajará-Mirim,guajara-mirim,7
22,Itapuã do Oeste,itapua do oeste,7
23,Jaru,jaru,7
24,Ji-Paraná,ji-parana,7
25,Machadinho D'Oeste,machadinho d'oeste,7
26,Ministro Andreazza,ministro andreazza,7
27,Mirante da Serra,mirante da serra,7
28,Monte Negro,monte negro,7
29,Nova Brasilândia D'Oeste,nova brasilandia d'oeste,7
30,Nova Mamoré,nova mamore,7
31,Nova União,nova uniao,7
32,Novo Horizonte do Oeste,novo horizonte do oeste,7
33,Ouro Preto do Oeste,ouro preto do oeste,7
34,Parecis,parecis,7
35,Pimenta Bueno,pimenta bueno,7
36,Pimenteiras do Oeste,pimenteiras do oeste,7
37,Porto Velho,porto velho,7
38,Presidente Médici,presidente medici,7
39,Primavera de Rondônia,primavera de rondonia,7
40,Rio Crespo,rio crespo,7
41,Rolim de Moura,rolim de moura,7
42,Santa Luzia D'Oeste,santa luzia d'oeste,7
43,São Felipe D'Oeste,sao felipe d'oeste,7
44,São Francisco do Guaporé,sao francisco do guapore,7
45,São Miguel do Guaporé,sao miguel do guapore,7
46,Seringueiras,seringueiras,7
47,Teixeirópolis,teixeiropolis,7
48,Theobroma,theobroma,7
49,Urupá,urupa,7
50,Vale do Anari,vale do anari,7
51,Vale do Paraíso,vale do paraiso,7
52,Vilhena,vilhena,7
53,Acrelândia,acrelandia,1
54,Assis Brasil,assis brasil,1
55,Brasiléia,brasileia,1
56,Bujari,bujari,1
57,Capixaba,capixaba,1
58,Cruzeiro do Sul,cruzeiro do sul,1
59,Epitaciolândia,epitaciolandia,1
60,Feijó,feijo,1
61,Jordão,jordao,1
62,Mâncio Lima,mancio lima,1
63,Manoel Urbano,manoel urbano,1
64,Marechal Thaumaturgo,marechal thaumaturgo,1
65,Plácido de Castro,placido de castro,1
66,Porto Acre,porto acre,1
67,Porto Walter,porto walter,1
68,Rio Branco,rio branco,1
69,Rodrigues Alves,rodrigues alves,1
70,Santa Rosa do Purus,santa rosa do purus,1
71,Sena Madureira,sena madureira,1
72,Senador Guiomard,senador guiomard,1
73,Tarauacá,tarauaca,1
74,Xapuri,xapuri,1
75,Alvarães,alvaraes,3
76,Amaturá,amatura,3
77,Anamã,anama,3
78,Anori,anori,3
79,Apuí,apui,3
80,Atalaia do Norte,atalaia do norte,3
81,Autazes,autazes,3
82,Barcelos,barcelos,3
83,Barreirinha,barreirinha,3
84,Benjamin Constant,benjamin constant,3
85,Beruri,beruri,3
86,Boa Vista do Ramos,boa vista do ramos,3
87,Boca do Acre,boca do acre,3
88,Borba,borba,3
89,Caapiranga,caapiranga,3
90,Canutama,canutama,3
91,Carauari,carauari,3
92,Careiro,careiro,3
93,Careiro da Várzea,careiro da varzea,3
94,Coari,coari,3
95,Codajás,codajas,3
96,Eirunepé,eirunepe,3
97,Envira,envira,3
98,Fonte Boa,fonte boa,3
99,Guajará,guajara,3
100,Humaitá,humaita,3
101,Ipixuna,ipixuna,3
102,Iranduba,iranduba,3
103,Itacoatiara,itacoatiara,3
104,Itamarati,itamarati,3
105,Itapiranga,itapiranga,3
106,Japurá,japura,3
107,Juruá,jurua,3
108,Jutaí,jutai,3
109,Lábrea,labrea,3
110,Manacapuru,manacapuru,3
111,Manaquiri,manaquiri,3
112,Manaus,manaus,3
113,Manicoré,manicore,3
114,Maraã,maraa,3
115,Maués,maues,3
116,Nhamundá,nhamunda,3
117,Nova Olinda do Norte,nova olinda do norte,3
118,Novo Airão,novo airao,3
119,Novo Aripuanã,novo aripuana,3
120,Parintins,parintins,3
121,Pauini,pauini,3
122,Presidente Figueiredo,presidente figueiredo,3
123,Rio Preto da Eva,rio preto da eva,3
124,Santa Isabel do Rio Negro,santa isabel do rio negro,3
125,Santo Antônio do Içá,santo antonio do ica,3
126,São Gabriel da Cachoeira,sao gabriel da cachoeira,3
127,São Paulo de Olivença,sao paulo de olivenca,3
