"cidade_id_cidade","unidade_conservacao_id_unidade_conservacao"
"1433","1"
"1359","2"
"1353","3"
"1353","3"
"1359","5"
"1433","5"
"1359","6"
"1353","7"
"1433","7"
"1185","8"
"1185","9"
"1185","10"
"967","11"
"978","11"
"981","11"
"889","12"
"846","13"
"783","14"
"794","14"
"783","15"
"789","15"
"747","16"
"779","16"
"796","16"
"804","16"
"808","17"
"809","17"
"777","18"
"761","19"
"802","19"
"880","20"
"958","20"
"880","21"
"958","21"
"808","22"
"816","22"
"870","23"
"906","23"
"955","23"
"708","24"
"750","25"
"836","26"
"842","26"
"916","26"
"926","26"
"813","27"
"819","27"
"1155","28"
"1177","28"
"1301","28"
"1075","29"
"696","29"
"721","29"
"906","30"
"793","31"
"799","31"
"806","31"
"937","32"
"946","32"
"708","33"
"762","34"
"830","35"
"880","35"
"958","35"
"880","36"
"882","36"
"902","36"
"958","36"
"880","37"
"882","37"
"880","38"
"882","38"
"718","39"
"1412","40"
"970","41"
"793","42"
"972","43"
"974","43"
"982","43"
"1341","44"
"708","45"
"682","46"
"701","47"
"708","48"
"677","49"
"701","49"
"708","49"
"673","50"
"684","50"
"707","50"
"708","51"
"708","52"
"783","53"
"803","53"
"783","54"
"773","55"
"781","55"
"789","55"
"783","56"
"789","56"
"783","57"
"789","58"
"789","59"
"767","60"
"772","60"
"819","61"
"819","62"
"944","63"
"832","64"
"841","64"
"897","65"
"897","66"
"870","67"
"906","67"
"1307","68"
"1307","69"
"1422","70"
"1372","71"
"1436","72"
"1439","72"
"1352","73"
"1372","73"
"1448","73"
"1453","74"
"1372","75"
"1416","76"
"704","77"
"813","78"
"686","79"
"708","80"
"1398","81"
"1404","82"
"1472","83"
"967","84"
"968","85"
"975","85"
"889","86"
"867","87"
"834","88"
"846","89"
"964","90"
"957","91"
"952","92"
"1185","93"
"939","94"
"890","95"
"887","96"
"1152","97"
"1172","98"
"1229","98"
"921","99"
"922","99"
"946","99"
"957","99"
"922","100"
"927","100"
"946","100"
"826","101"
"831","101"
"850","101"
"852","101"
"859","101"
"865","101"
"898","101"
"928","101"
"930","101"
"949","101"
"952","101"
"927","102"
"973","103"
"1125","104"
"1143","104"
"1152","104"
"1168","104"
"1172","104"
"1174","104"
"1185","104"
"1196","104"
"1206","104"
"1229","104"
"1241","104"
"1329","104"
"796","105"
"746","106"
"762","106"
"778","106"
"803","106"
"805","106"
"753","107"
"789","107"
"769","108"
"777","108"
"785","108"
"778","109"
"805","109"
"779","110"
"753","111"
"746","112"
"793","113"
"793","114"
"793","115"
"793","116"
"793","117"
"793","118"
"793","119"
"793","120"
"783","121"
"793","122"
"753","123"
"765","123"
"766","123"
"785","123"
"762","124"
"776","125"
"799","125"
"765","126"
"803","126"
"794","127"
"773","128"
"781","128"
"789","128"
"783","129"
"783","130"
"783","131"
"789","132"
"795","133"
"830","134"
"880","134"
"958","134"
"810","135"
"810","136"
"708","137"
"706","138"
"680","139"
"706","140"
"810","141"
"888","142"
"840","143"
"888","144"
"895","145"
"1347","146"
"1412","147"
"1347","148"
"1122","149"
"1122","150"
"1280","151"
"1307","152"
"1307","153"
"1305","154"
"1307","155"
"973","156"
"977","157"
"979","158"
"973","159"
"783","160"
"1447","161"
"1462","162"
"774","163"
"708","164"
"696","165"
"708","165"
"696","166"
"696","167"
"696","168"
"696","169"
"696","170"
"696","171"
"696","172"
"696","173"
"696","174"
"696","175"
"696","176"
"696","177"
"696","178"
"696","179"
"721","179"
"696","180"
"689","181"
"689","182"
"689","183"
"696","184"
"688","186"
"672","188"
"688","188"
"688","189"
"688","190"
"696","191"
"689","192"
"727","193"
"1447","193"
"744","194"
"830","195"
"967","196"
"968","196"
"970","196"
"974","196"
"975","196"
"977","196"
"978","196"
"980","196"
