id_estacao_meteorologica,nome,latitude,longitude,altitude,data_fundacao,id_cidade
1,Manaus,-3.10333333,-60.01638888,61.25,2000-05-09,112
2,Sorriso,-12.55,-55.71666666,380.0,2002-12-16,797
3,Tangara Da Serra,-14.65,-57.41666666,321.5,2002-12-11,799
4,Cuiaba,-15.55916666,-56.72944443,240.0,2002-12-08,706
5,Guaranta Do Norte,-9.95,-54.88333333,320.0,2002-12-20,716
6,Rondonopolis,-16.45,-54.56666666,284.0,2003-11-17,778
7,Sao Luis,-2.52694443,-44.21305555,56.0,2003-01-29,636
8,S.J. Do Rio Claro,-13.45,-56.66666666,350.0,2003-02-25,790
9,Belem,-1.41027777,-48.43833333,24.0,2003-01-20,170
10,Castanhal,-1.30083333,-47.93083332,65.0,2003-01-24,187
11,Palmas,-10.18333333,-48.3,280.0,2004-12-17,399
12,Parana,-12.615,-47.87194443,280.0,2005-03-04,404
13,Comodoro,-13.70861111,-59.76277777,591.0,2006-11-28,702
14,Vila Bela Da Santissima Trindade,-15.06277777,-59.87277777,222.0,2006-12-01,808
15,Paranatinga,-14.42138888,-54.03527777,474.0,2006-12-19,758
16,Gurupi,-11.74583333,-49.04972221,287.0,2006-12-20,369
17,Sinop,-11.98222221,-55.56583333,371.0,2006-10-29,796
18,Agua Boa,-14.01611111,-52.21222222,432.0,2006-12-16,669
19,Juara,-11.28027777,-57.52666666,260.0,2006-11-02,726
20,Juina,-11.36694443,-58.73305554,220.0,2006-11-24,727
21,Campo Verde,-15.52749999,-55.13555555,749.0,2006-11-21,691
22,Peixe,-12.01666666,-48.55,242.0,2006-12-01,407
23,Apiacas,-9.56388888,-57.3936111,220.0,2006-10-24,676
24,Cotriguacu,-9.90611111,-58.57194443,261.0,2007-05-28,705
25,Pedro Afonso,-8.9686111,-48.19416666,189.0,2007-01-23,406
26,Porto Velho,-8.76388888,-63.47499999,98.0,2007-07-11,37
27,Paragominas,-3.01027777,-47.34305555,101.0,2007-10-18,240
28,Carolina,-7.33722221,-47.45972222,192.0,2007-12-04,500
29,Balsas,-7.45527777,-46.02749999,254.0,2007-10-26,474
30,Sao Felix  Do Araguaia,-11.61888888,-50.72777777,218.0,2007-10-19,788
31,Araguaina,-7.10416666,-48.20111111,226.0,2007-01-26,323
32,Alta Floresta,-9.84944444,-56.1,289.0,2007-05-23,670
33,Querencia,-12.5986111,-52.19444444,339.0,2007-07-18,772
34,Barra Do Corda,-5.50666666,-45.23694444,153.0,2008-03-06,476
35,Caxias,-4.82138888,-43.3436111,76.0,2008-07-13,502
36,Colinas,-6.03333333,-44.23333333,179.0,2008-06-03,511
37,Salinopolis,-0.6186111,-47.35666666,41.0,2008-06-14,256
38,Vilhena,-12.73472221,-60.15777777,590.0,2008-08-26,52
39,Parintins,-2.64055555,-56.75472222,52.0,2008-04-11,120
40,Grajau,-5.82472221,-46.15944444,230.0,2008-09-10,534
41,Maues,-3.39888888,-57.6736111,35.0,2008-04-22,115
42,Soure,-0.81111111,-48.51583333,11.0,2008-04-27,281
