id_emissao,ano,co2_1a_ordem,co2_2a_ordem,co2_por_fogo,co2_por_decaimento,ch4_eq_fogo,n2o_eq_fogo,net_co2_1a_ordem,net_co2_2a_ordem,area_total_secundaria,area_cortada,co2_emitido_secundaria,co2_absorvido_secundaria,id_regiao_administrativa
1,1960,459.0,149.0,149.0,0.0,16.0,4.0,,149.0,176978.0,0.0,0.0,0.0,1
2,1961,459.0,247.0,149.0,98.0,16.0,4.0,,247.0,353956.0,0.0,0.0,0.0,1
3,1962,459.0,309.0,149.0,159.0,16.0,4.0,,309.0,530935.0,0.0,0.0,0.0,1
4,1963,459.0,347.0,149.0,198.0,16.0,4.0,,345.0,707913.0,0.0,0.0,-2.0,1
5,1964,459.0,373.0,149.0,224.0,16.0,4.0,,368.0,884891.0,0.0,0.0,-5.0,1
6,1965,459.0,390.0,149.0,241.0,16.0,4.0,,382.0,1061870.0,0.0,0.0,-8.0,1
7,1966,459.0,402.0,149.0,253.0,16.0,4.0,,392.0,1238848.0,7070.0,0.0,-10.0,1
8,1967,459.0,411.0,149.0,262.0,16.0,4.0,,398.0,1415826.0,13857.0,0.0,-13.0,1
9,1968,459.0,417.0,149.0,268.0,16.0,4.0,,403.0,1592805.0,21566.0,1.0,-15.0,1
10,1969,459.0,422.0,149.0,273.0,16.0,4.0,,406.0,1769783.0,28155.0,2.0,-18.0,1
11,1970,459.0,426.0,149.0,277.0,16.0,4.0,,408.0,1946761.0,36507.0,3.0,-20.0,1
12,1971,459.0,429.0,149.0,280.0,16.0,4.0,,410.0,2123740.0,42849.0,3.0,-22.0,1
13,1972,459.0,431.0,149.0,282.0,16.0,4.0,,411.0,2300718.0,51831.0,4.0,-25.0,1
14,1973,459.0,433.0,149.0,284.0,16.0,4.0,,412.0,2477696.0,58217.0,5.0,-27.0,1
15,1974,459.0,435.0,149.0,286.0,16.0,4.0,,413.0,2654675.0,68514.0,7.0,-29.0,1
16,1975,459.0,437.0,149.0,288.0,16.0,4.0,,413.0,2831653.0,75265.0,8.0,-31.0,1
17,1976,459.0,438.0,149.0,289.0,16.0,4.0,,414.0,3008631.0,86970.0,10.0,-34.0,1
18,1977,459.0,439.0,149.0,290.0,16.0,4.0,,414.0,3185610.0,94070.0,11.0,-36.0,1
19,1978,459.0,440.0,149.0,291.0,16.0,4.0,,414.0,3362588.0,101127.0,12.0,-38.0,1
20,1979,1172.0,673.0,380.0,292.0,41.0,12.0,,645.0,3814088.0,108293.0,13.0,-41.0,1
