id_foco_queimada,mes_ano,tipo_area,quantidade,id_estado
1,2025-01-01,Fogo em áreas de desmatamento consolidado,14.0,1
2,2025-01-01,Fogo em áreas de desmatamento consolidado,2.0,2
3,2025-01-01,Fogo em áreas de desmatamento consolidado,32.0,3
4,2025-01-01,Fogo em áreas de desmatamento consolidado,163.0,4
5,2025-01-01,Fogo em áreas de desmatamento consolidado,142.0,5
6,2025-01-01,Fogo em áreas de desmatamento consolidado,241.0,6
7,2025-01-01,Fogo em áreas de desmatamento consolidado,16.0,7
8,2025-01-01,Fogo em áreas de desmatamento consolidado,69.0,8
9,2025-01-01,Fogo em áreas de desmatamento consolidado,4.0,9
10,2025-01-01,Fogo em áreas de desmatamento recente,20.0,1
11,2025-01-01,Fogo em áreas de desmatamento recente,14.0,3
12,2025-01-01,Fogo em áreas de desmatamento recente,17.0,4
13,2025-01-01,Fogo em áreas de desmatamento recente,28.0,5
14,2025-01-01,Fogo em áreas de desmatamento recente,83.0,6
15,2025-01-01,Fogo em áreas de desmatamento recente,8.0,7
16,2025-01-01,Fogo em áreas de desmatamento recente,112.0,8
17,2025-01-01,Fogo em outras áreas,1.0,4
18,2025-01-01,Fogo em áreas de vegetação nativa,1.0,1
19,2025-01-01,Fogo em áreas de vegetação nativa,1.0,2
20,2025-01-01,Fogo em áreas de vegetação nativa,14.0,3
21,2025-01-01,Fogo em áreas de vegetação nativa,5.0,4
22,2025-01-01,Fogo em áreas de vegetação nativa,3.0,5
23,2025-01-01,Fogo em áreas de vegetação nativa,29.0,6
24,2025-01-01,Fogo em áreas de vegetação nativa,1.0,7
25,2025-01-01,Fogo em áreas de vegetação nativa,202.0,8
26,2025-02-01,Fogo em áreas de desmatamento consolidado,4.0,1
27,2025-02-01,Fogo em áreas de desmatamento consolidado,5.0,3
28,2025-02-01,Fogo em áreas de desmatamento consolidado,9.0,4
29,2025-02-01,Fogo em áreas de desmatamento consolidado,152.0,5
30,2025-02-01,Fogo em áreas de desmatamento consolidado,71.0,6
31,2025-02-01,Fogo em áreas de desmatamento consolidado,17.0,7
32,2025-02-01,Fogo em áreas de desmatamento consolidado,19.0,8
33,2025-02-01,Fogo em áreas de desmatamento recente,4.0,3
34,2025-02-01,Fogo em áreas de desmatamento recente,3.0,4
35,2025-02-01,Fogo em áreas de desmatamento recente,26.0,5
36,2025-02-01,Fogo em áreas de desmatamento recente,14.0,6
37,2025-02-01,Fogo em áreas de desmatamento recente,5.0,7
38,2025-02-01,Fogo em áreas de desmatamento recente,30.0,8
39,2025-02-01,Fogo em outras áreas,2.0,3
40,2025-02-01,Fogo em outras áreas,1.0,8
41,2025-02-01,Fogo em áreas de vegetação nativa,1.0,1
42,2025-02-01,Fogo em áreas de vegetação nativa,1.0,2
43,2025-02-01,Fogo em áreas de vegetação nativa,1.0,5
44,2025-02-01,Fogo em áreas de vegetação nativa,1.0,6
45,2025-02-01,Fogo em áreas de vegetação nativa,3.0,7
46,2025-02-01,Fogo em áreas de vegetação nativa,33.0,8
47,2025-03-01,Fogo em áreas de desmatamento consolidado,1.0,2
48,2025-03-01,Fogo em áreas de desmatamento consolidado,17.0,3
49,2025-03-01,Fogo em áreas de desmatamento consolidado,3.0,4
50,2025-03-01,Fogo em áreas de desmatamento consolidado,259.0,5
51,2025-03-01,Fogo em áreas de desmatamento consolidado,43.0,6
52,2025-03-01,Fogo em áreas de desmatamento consolidado,13.0,7
53,2025-03-01,Fogo em áreas de desmatamento consolidado,111.0,8
54,2025-03-01,Fogo em áreas de desmatamento consolidado,2.0,9
55,2025-03-01,Fogo em áreas de desmatamento recente,2.0,3
56,2025-03-01,Fogo em áreas de desmatamento recente,23.0,5
57,2025-03-01,Fogo em áreas de desmatamento recente,15.0,6
58,2025-03-01,Fogo em áreas de desmatamento recente,2.0,7
59,2025-03-01,Fogo em áreas de desmatamento recente,190.0,8
60,2025-03-01,Fogo em áreas de vegetação nativa,5.0,3
61,2025-03-01,Fogo em áreas de vegetação nativa,6.0,5
62,2025-03-01,Fogo em áreas de vegetação nativa,4.0,6
63,2025-03-01,Fogo em áreas de vegetação nativa,89.0,8
64,2025-04-01,Fogo em áreas de desmatamento consolidado,2.0,1
65,2025-04-01,Fogo em áreas de desmatamento consolidado,4.0,3
66,2025-04-01,Fogo em áreas de desmatamento consolidado,12.0,4
67,2025-04-01,Fogo em áreas de desmatamento consolidado,101.0,5
68,2025-04-01,Fogo em áreas de desmatamento consolidado,52.0,6
69,2025-04-01,Fogo em áreas de desmatamento consolidado,8.0,7
70,2025-04-01,Fogo em áreas de desmatamento consolidado,7.0,8
71,2025-04-01,Fogo em áreas de desmatamento consolidado,2.0,9
72,2025-04-01,Fogo em áreas de desmatamento recente,5.0,3
73,2025-04-01,Fogo em áreas de desmatamento recente,16.0,5
74,2025-04-01,Fogo em áreas de desmatamento recente,8.0,6
75,2025-04-01,Fogo em áreas de desmatamento recente,5.0,8
76,2025-04-01,Fogo em áreas de vegetação nativa,3.0,5
77,2025-04-01,Fogo em áreas de vegetação nativa,2.0,8
78,2024-01-01,Fogo em áreas de desmatamento consolidado,2.0,1
79,2024-01-01,Fogo em áreas de desmatamento consolidado,2.0,2
80,2024-01-01,Fogo em áreas de desmatamento consolidado,65.0,3
81,2024-01-01,Fogo em áreas de desmatamento consolidado,112.0,4
82,2024-01-01,Fogo em áreas de desmatamento consolidado,372.0,5
83,2024-01-01,Fogo em áreas de desmatamento consolidado,373.0,6
84,2024-01-01,Fogo em áreas de desmatamento consolidado,22.0,7
85,2024-01-01,Fogo em áreas de desmatamento consolidado,139.0,8
86,2024-01-01,Fogo em áreas de desmatamento consolidado,5.0,9
87,2024-01-01,Fogo em áreas de desmatamento recente,5.0,1
88,2024-01-01,Fogo em áreas de desmatamento recente,50.0,3
89,2024-01-01,Fogo em áreas de desmatamento recente,14.0,4
90,2024-01-01,Fogo em áreas de desmatamento recente,129.0,5
91,2024-01-01,Fogo em áreas de desmatamento recente,220.0,6
92,2024-01-01,Fogo em áreas de desmatamento recente,13.0,7
93,2024-01-01,Fogo em áreas de desmatamento recente,198.0,8
94,2024-01-01,Fogo em áreas de desmatamento recente,1.0,9
95,2024-01-01,Fogo em outras áreas,2.0,6
96,2024-01-01,Fogo em áreas de vegetação nativa,1.0,1
97,2024-01-01,Fogo em áreas de vegetação nativa,1.0,2
98,2024-01-01,Fogo em áreas de vegetação nativa,45.0,3
99,2024-01-01,Fogo em áreas de vegetação nativa,7.0,4
100,2024-01-01,Fogo em áreas de vegetação nativa,13.0,5
101,2024-01-01,Fogo em áreas de vegetação nativa,21.0,6
102,2024-01-01,Fogo em áreas de vegetação nativa,1.0,7
103,2024-01-01,Fogo em áreas de vegetação nativa,266.0,8
104,2024-02-01,Fogo em áreas de desmatamento consolidado,1.0,2
105,2024-02-01,Fogo em áreas de desmatamento consolidado,63.0,3
106,2024-02-01,Fogo em áreas de desmatamento consolidado,9.0,4
107,2024-02-01,Fogo em áreas de desmatamento consolidado,578.0,5
108,2024-02-01,Fogo em áreas de desmatamento consolidado,139.0,6
109,2024-02-01,Fogo em áreas de desmatamento consolidado,33.0,7
110,2024-02-01,Fogo em áreas de desmatamento consolidado,571.0,8
111,2024-02-01,Fogo em áreas de desmatamento recente,5.0,1
112,2024-02-01,Fogo em áreas de desmatamento recente,48.0,3
113,2024-02-01,Fogo em áreas de desmatamento recente,7.0,4
114,2024-02-01,Fogo em áreas de desmatamento recente,74.0,5
115,2024-02-01,Fogo em áreas de desmatamento recente,98.0,6
116,2024-02-01,Fogo em áreas de desmatamento recente,8.0,7
117,2024-02-01,Fogo em áreas de desmatamento recente,707.0,8
118,2024-02-01,Fogo em outras áreas,2.0,3
119,2024-02-01,Fogo em outras áreas,3.0,8
120,2024-02-01,Fogo em áreas de vegetação nativa,2.0,1
121,2024-02-01,Fogo em áreas de vegetação nativa,27.0,3
122,2024-02-01,Fogo em áreas de vegetação nativa,6.0,5
123,2024-02-01,Fogo em áreas de vegetação nativa,19.0,6
124,2024-02-01,Fogo em áreas de vegetação nativa,3.0,7
125,2024-02-01,Fogo em áreas de vegetação nativa,775.0,8
126,2024-03-01,Fogo em áreas de desmatamento consolidado,5.0,1
127,2024-03-01,Fogo em áreas de desmatamento consolidado,14.0,3
128,2024-03-01,Fogo em áreas de desmatamento consolidado,8.0,4
129,2024-03-01,Fogo em áreas de desmatamento consolidado,1006.0,5
130,2024-03-01,Fogo em áreas de desmatamento consolidado,69.0,6
131,2024-03-01,Fogo em áreas de desmatamento consolidado,65.0,7
132,2024-03-01,Fogo em áreas de desmatamento consolidado,366.0,8
133,2024-03-01,Fogo em áreas de desmatamento consolidado,5.0,9
134,2024-03-01,Fogo em áreas de desmatamento recente,2.0,1
135,2024-03-01,Fogo em áreas de desmatamento recente,15.0,3
136,2024-03-01,Fogo em áreas de desmatamento recente,99.0,5
137,2024-03-01,Fogo em áreas de desmatamento recente,29.0,6
138,2024-03-01,Fogo em áreas de desmatamento recente,12.0,7
139,2024-03-01,Fogo em áreas de desmatamento recente,410.0,8
140,2024-03-01,Fogo em áreas de desmatamento recente,1.0,9
141,2024-03-01,Fogo em outras áreas,1.0,8
142,2024-03-01,Fogo em áreas de vegetação nativa,6.0,3
143,2024-03-01,Fogo em áreas de vegetação nativa,9.0,5
144,2024-03-01,Fogo em áreas de vegetação nativa,2.0,6
145,2024-03-01,Fogo em áreas de vegetação nativa,1.0,7
146,2024-03-01,Fogo em áreas de vegetação nativa,652.0,8
147,2024-04-01,Fogo em áreas de desmatamento consolidado,3.0,1
148,2024-04-01,Fogo em áreas de desmatamento consolidado,2.0,2
149,2024-04-01,Fogo em áreas de desmatamento consolidado,23.0,3
150,2024-04-01,Fogo em áreas de desmatamento consolidado,6.0,4
151,2024-04-01,Fogo em áreas de desmatamento consolidado,380.0,5
152,2024-04-01,Fogo em áreas de desmatamento consolidado,37.0,6
153,2024-04-01,Fogo em áreas de desmatamento consolidado,42.0,7
154,2024-04-01,Fogo em áreas de desmatamento consolidado,169.0,8
155,2024-04-01,Fogo em áreas de desmatamento recente,8.0,3
156,2024-04-01,Fogo em áreas de desmatamento recente,1.0,4
157,2024-04-01,Fogo em áreas de desmatamento recente,106.0,5
158,2024-04-01,Fogo em áreas de desmatamento recente,7.0,6
159,2024-04-01,Fogo em áreas de desmatamento recente,7.0,7
160,2024-04-01,Fogo em áreas de desmatamento recente,218.0,8
161,2024-04-01,Fogo em áreas de vegetação nativa,1.0,3
162,2024-04-01,Fogo em áreas de vegetação nativa,10.0,5
163,2024-04-01,Fogo em áreas de vegetação nativa,3.0,6
164,2024-04-01,Fogo em áreas de vegetação nativa,132.0,8
165,2024-05-01,Fogo em áreas de desmatamento consolidado,5.0,1
166,2024-05-01,Fogo em áreas de desmatamento consolidado,1.0,2
167,2024-05-01,Fogo em áreas de desmatamento consolidado,15.0,3
168,2024-05-01,Fogo em áreas de desmatamento consolidado,3.0,4
169,2024-05-01,Fogo em áreas de desmatamento consolidado,542.0,5
170,2024-05-01,Fogo em áreas de desmatamento consolidado,155.0,6
171,2024-05-01,Fogo em áreas de desmatamento consolidado,43.0,7
172,2024-05-01,Fogo em áreas de desmatamento consolidado,10.0,8
173,2024-05-01,Fogo em áreas de desmatamento consolidado,6.0,9
174,2024-05-01,Fogo em áreas de desmatamento recente,4.0,1
175,2024-05-01,Fogo em áreas de desmatamento recente,8.0,3
176,2024-05-01,Fogo em áreas de desmatamento recente,670.0,5
177,2024-05-01,Fogo em áreas de desmatamento recente,28.0,6
178,2024-05-01,Fogo em áreas de desmatamento recente,17.0,7
179,2024-05-01,Fogo em áreas de desmatamento recente,2.0,8
180,2024-05-01,Fogo em áreas de vegetação nativa,2.0,1
