id_unidade_conservacao,nome,categoria,esfera_administrativa,tipo,area_amazonia_ha,id_estado
1,Reserva Particular Do Patrimônio Natural Fazenda Estância Dorochê,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,0.0,5
2,Reserva Particular Do Patrimônio Natural Jubran,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,0.0,5
3,Reserva Particular Do Patrimônio Natural Estância Ecológica Sesc - Pantanal,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,0.0,5
5,Estação Ecológica De Taiamã,Estação Ecológica,Federal,Proteção Integral,0.0,5
6,Parque Estadual Do Guirá,Parque,Estadual,Proteção Integral,0.0,5
7,Parque Estadual Encontro Das Águas,Parque,Estadual,Proteção Integral,0.0,5
8,Parque Estadual Marinho Do Parcel De Manuel Luís,Parque,Estadual,Proteção Integral,0.0,4
9,Parque Estadual Marinho Banco Do Tarol,Parque,Estadual,Proteção Integral,0.0,4
10,Parque Estadual Marinho Banco Do Álvaro,Parque,Estadual,Proteção Integral,0.0,4
11,Reserva Biológica Do Lago Piratuba,Reserva Biológica,Federal,Proteção Integral,388082.0,2
12,Área De Proteção Ambiental De Algodoal-Maiandeua,Área de Proteção Ambiental,Estadual,Uso Sustentável,2818.0,6
13,Refúgio De Vida Silvestre Da Ilha Do Canela,Refúgio de Vida Silvestre,Municipal,Proteção Integral,170.0,6
14,Área De Relevante Interesse Ecológico Projeto Dinâmica Biológica De Fragmentos Florestais,Área de Relevante Interesse Ecológico,Federal,Uso Sustentável,3336.0,3
15,Parque Nacional De Anavilhanas,Parque,Federal,Proteção Integral,350240.0,3
16,Estação Ecológica De Jutaí-Solimões,Estação Ecológica,Federal,Proteção Integral,289514.0,3
17,Estação Ecológica De Maracá,Estação Ecológica,Federal,Proteção Integral,154222.0,8
18,Estação Ecológica Juami-Japurá,Estação Ecológica,Federal,Proteção Integral,831355.0,3
19,Floresta Nacional De Balata-Tufari,Floresta,Federal,Uso Sustentável,1088825.0,3
20,Floresta Nacional De Itaituba I,Floresta,Federal,Uso Sustentável,213085.0,6
21,Floresta Nacional De Itaituba Ii,Floresta,Federal,Uso Sustentável,397751.0,6
22,Floresta Nacional De Roraima,Floresta,Federal,Uso Sustentável,169628.0,8
23,Floresta Nacional De Saracá-Taquera,Floresta,Federal,Uso Sustentável,441288.0,6
24,Floresta Nacional Do Bom Futuro,Floresta,Federal,Uso Sustentável,98359.0,7
25,Floresta Nacional Do Jatuarana,Floresta,Federal,Uso Sustentável,568289.0,3
26,Floresta Nacional Do Tapajós,Floresta,Federal,Uso Sustentável,525060.0,6
27,Parque Nacional Viruá,Parque,Federal,Proteção Integral,280984.0,8
28,Reserva Biológica Do Gurupi,Reserva Biológica,Federal,Proteção Integral,271465.0,4
29,Reserva Biológica Do Jaru,Reserva Biológica,Federal,Proteção Integral,346863.3406,7
30,Reserva Biológica Do Rio Trombetas,Reserva Biológica,Federal,Proteção Integral,407759.0,6
31,Reserva Biológica Do Uatumã,Reserva Biológica,Federal,Proteção Integral,938602.0,3
32,Reserva Extrativista Chocoaré-Mato Grosso,Reserva Extrativista,Federal,Uso Sustentável,4618.0,6
33,Reserva Extrativista Lago Do Cuniã,Reserva Extrativista,Federal,Uso Sustentável,76410.0,7
34,Reserva Extrativista Do Médio Juruá,Reserva Extrativista,Federal,Uso Sustentável,286957.0,3
35,Parque Nacional Do Jamanxim,Parque,Federal,Proteção Integral,862897.0,6
36,Área De Proteção Ambiental Do Tapajós,Área de Proteção Ambiental,Federal,Uso Sustentável,2040363.0,6
37,Floresta Nacional Do Crepori,Floresta,Federal,Uso Sustentável,740396.0,6
38,Floresta Nacional Do Amaná,Floresta,Federal,Uso Sustentável,682677.0,6
39,Reserva Particular Do Patrimônio Natural Vale Das Antas,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,62.0,7
40,Reserva Particular Do Patrimônio Natural Reserva Ecológica José Gimenes Soares,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,195.0,5
41,Reserva Particular Do Patrimônio Natural Seringal Triunfo,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,9996.0,2
42,Reserva Particular Do Patrimônio Natural Reserva Sol Nascente,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,19.0,3
43,Reserva Extrativista Do Rio Cajari,Reserva Extrativista,Federal,Uso Sustentável,532397.0,2
44,Reserva Particular Do Patrimônio Natural Lote Cristalino,Reserva Particular do Patrimônio Natural,Federal,Uso Sustentável,604.0,5
45,"Floresta Estadual De Rendimento Sustentado Do Rio Madeira ""B""",Floresta,Estadual,Uso Sustentável,47356.0,7
46,Estação Ecológica Samuel,Estação Ecológica,Estadual,Proteção Integral,68993.0,7
47,Parque Estadual De Guajará-Mirim,Parque,Estadual,Proteção Integral,221173.0,7
48,Estação Ecológica Serra Dos Três Irmãos,Estação Ecológica,Estadual,Proteção Integral,88960.0,7
49,Reserva Extrativista Jaci-Paraná,Reserva Extrativista,Estadual,Uso Sustentável,197094.0,7
50,Parque Estadual De Corumbiara,Parque,Estadual,Proteção Integral,380079.385,7
51,Floresta Estadual Do Rio Pardo,Floresta,Estadual,Uso Sustentável,30834.0,7
52,Área De Proteção Ambiental Do Rio Pardo,Área de Proteção Ambiental,Estadual,Uso Sustentável,113814.0,7
53,Reserva De Desenvolvimento Sustentável Mamirauá,Reserva de Desenvolvimento Sustentável,Estadual,Uso Sustentável,1319952.0,3
54,Área De Proteção Ambiental De Presidente Figueiredo - Caverna Do Moroaga,Área de Proteção Ambiental,Estadual,Uso Sustentável,408561.0,3
55,Área De Proteção Ambiental Margem Direita Do Rio Negro- Setor Paduari-Solimões,Área de Proteção Ambiental,Estadual,Uso Sustentável,461739.0,3
